mean,minimum,maximum,kurtosis,skewness,sum,variance,range,rms,srm,crest_factor,latitude_factor,impulse_factor,axis,workpiece
-0.016956045642089843,-0.232541992,0.13946582,-0.22201928079070754,-0.5276833296220986,-34.725981475,0.0035242442374651406,0.372007812,0.06173938549485065,0.448409804156432,2.258944090261995,0.6936135769278262,-8.225138274799475,Rawdata_X,Workpiece#1.csv
-0.0157417493125,-0.228147461,0.132385742,-0.034914656505008246,-0.6192646810007806,-32.239102592,0.0034382910246585708,0.360533203,0.06071320857998006,0.4442947690823754,2.1805097292066633,0.6706544548311456,-8.409849462846983,Rawdata_X,Workpiece#1.csv
-0.015658649922851563,-0.233396484,0.144836914,-0.06440334846754636,-0.5990657869133377,-32.068915042,0.0033900973748501794,0.378233398,0.060293371876654886,0.4452016198979117,2.4022029203525057,0.7307448967633995,-9.249642511557221,Rawdata_X,Workpiece#1.csv
-0.017061059915527345,-0.218992188,0.164490234,-0.3210417929925238,-0.504918936185407,-34.941050707,0.0036592594121384403,0.38348242200000004,0.06285172374390105,0.4520293709803347,2.617115716193252,0.8050202586236315,-9.64126700301291,Rawdata_X,Workpiece#1.csv
-0.017086372884277345,-0.24743457,0.112610352,-0.17697574493394086,-0.5844293862161267,-34.992891667,0.0036429887221096505,0.360044922,0.06272904319731187,0.44910117575900493,1.7951868267110072,0.5583286733138079,-6.590652841459557,Rawdata_X,Workpiece#1.csv
-0.018790637998046873,-0.243894531,0.131287109,-0.09852829793375184,-0.5952427109649334,-38.483226619999996,0.0037603648716376887,0.37518164,0.06413620621779349,0.4485899276214203,2.047004597593062,0.652413665399083,-6.986836158178673,Rawdata_X,Workpiece#1.csv
-0.01778946208203125,-0.213621094,0.143860352,-0.32342968754483037,-0.5218294270329151,-36.432818344,0.0035611950012798006,0.357481446,0.06227085965720907,0.4475236173166392,2.3102355225530493,0.7183055131498569,-8.086829794887965,Rawdata_X,Workpiece#1.csv
-0.018488833868164065,-0.239255859,0.136291992,-0.36998617207464024,-0.5290760374258887,-37.865131762000004,0.003745739664440837,0.375547851,0.06393415864970312,0.4527208238706918,2.131755463409588,0.66498124475113,-7.371584004261149,Rawdata_X,Workpiece#1.csv
-0.017700854315429688,-0.228513672,0.140808594,-0.04044240603160265,-0.5890849863187883,-36.251349638,0.003668541699203477,0.369322266,0.06310199634480308,0.4489858438316571,2.231444362403229,0.6984959068013121,-7.954903841972098,Rawdata_X,Workpiece#1.csv
-0.018039349105468748,-0.22778125,0.12750293,-0.2536206568865791,-0.5624920671849432,-36.944586967999996,0.0036989366303434466,0.35528417999999995,0.06343780218838309,0.45096915961643,2.0098888297134083,0.6269407213188329,-7.068044930808874,Rawdata_X,Workpiece#1.csv
-0.019506050609863282,-0.271360352,0.159973633,-0.1453509272992144,-0.5685469820084647,-39.948391649,0.003907999755491876,0.43133398500000003,0.06548653117921596,0.45248284134878664,2.442847866872085,0.7813474117895725,-8.201231310202228,Rawdata_X,Workpiece#1.csv
-0.01718347027197266,-0.244260742,0.125671875,-0.32357482085712785,-0.5282732593906677,-35.191747117000006,0.0036713871642552478,0.369932617,0.06298141642455349,0.4524038479782999,1.995380258723531,0.6140242372390593,-7.313532890092572,Rawdata_X,Workpiece#1.csv
-0.020065806416015623,-0.214963867,0.120056641,-0.3246003216196698,-0.5431954211048797,-41.094771539999996,0.0038433686778373043,0.335020508,0.06516137863000074,0.4527429282009244,1.842450904571947,0.5857102677923889,-5.983145581638633,Rawdata_X,Workpiece#1.csv
-0.020963668786621092,-0.234128906,0.134705078,-0.28073956221183183,-0.5774018084508578,-42.933593675,0.004074312360337401,0.368833984,0.0671847286913667,0.4549105280254198,2.0049954896567104,0.6509265591214689,-6.425644259652113,Rawdata_X,Workpiece#1.csv
-0.020335750080078124,-0.271116211,0.129456055,-0.3586875349756351,-0.5373828743322421,-41.647616164,0.004195866226472046,0.40057226599999995,0.06789262815498781,0.45832744225185384,1.9067763101536281,0.6162694592421518,-6.365934597456592,Rawdata_X,Workpiece#1.csv
-0.022985601923339843,-0.261106445,0.152527344,-0.3704946084110272,-0.5497802284863106,-47.074512739,0.004793136527255134,0.41363378900000003,0.07294843674153256,0.46422292453377145,2.090892564845874,0.707773896556229,-6.635777671113411,Rawdata_X,Workpiece#1.csv
-0.02389488649609375,-0.255857422,0.146790039,-0.3580606262550159,-0.5503435218234409,-48.936727544,0.005183929646747224,0.40264746100000004,0.07586102587896124,0.4697725658149871,1.9349862106295312,0.6651525863481861,-6.1431569898436935,Rawdata_X,Workpiece#1.csv
-0.02550817014794922,-0.257810547,0.180725586,-0.4624433409232358,-0.5191077986529138,-52.240732463,0.005845024320535543,0.438536133,0.08059585017128532,0.47588938015475785,2.24236838020711,0.7980086796614566,-7.085007860296471,Rawdata_X,Workpiece#1.csv
-0.02453832719580078,-0.221799805,0.206970703,-0.3435077701414997,-0.5269962570156188,-50.254494097,0.0054021625039348715,0.428770508,0.07748736674776766,0.47013443515423436,2.671025119149021,0.9364072122741601,-8.434588932998608,Rawdata_X,Workpiece#1.csv
-0.024048133848144533,-0.300291016,0.228699219,-0.22268462102700193,-0.48133331524269063,-49.250578121000004,0.006979555170607981,0.528990235,0.08693599894282146,0.4838447420192658,2.6306618866876703,0.9769056687397447,-9.510060965401921,Rawdata_X,Workpiece#1.csv
-0.02439160348828125,-0.342039063,0.241760742,0.0738046762030451,-0.5364662733895593,-49.954003944,0.007587077570562613,0.583799805,0.09045456257863473,0.48622908908251866,2.672731315126647,1.0225955659104875,-9.911637917373985,Rawdata_X,Workpiece#1.csv
